English,Type,Episodes,Status,Start_Aired,End_Aired,Premiered,Studios,Source,Genres,Demographics,Score,Popularity,Favorites
Rage of Bahamut Virgin Soul,TV,24,Finished Airing,"Apr 8, 2017","Sep 30, 2017",Spring 2017,MAPPA,Card game,"Action, Adventure, Fantasy, Supernatural",Unknown,7.431,914,976
King's Game,TV,12,Finished Airing,"Oct 5, 2017","Dec 21, 2017",Fall 2017,Seven,Novel,"Drama, Horror, Mystery, Supernatural",Unknown,5.041,915,392
The Garden of Sinners Chapter 5 Paradox Spiral,Movie,1,Finished Airing,"Aug 16, 2008",Not Available,Unknown,ufotable,Light novel,"Action, Drama, Mystery, Romance, Supernatural, Suspense",Unknown,8.541,917,4374
Hajime No Ippo The Fighting!,TV,25,Finished Airing,"Oct 6, 2013","Mar 30, 2014",Fall 2013,"Madhouse, MAPPA",Manga,Sports,Shounen,8.591,918,1085
One Piece Film Strong World,Movie,1,Finished Airing,"Dec 12, 2009",Not Available,Unknown,Toei Animation,Manga,"Action, Adventure, Fantasy",Shounen,8.101,919,422
Unknown,TV,27,Finished Airing,"Apr 4, 1998","Oct 10, 1998",Spring 1998,Toei Animation,Manga,"Action, Comedy, Fantasy",Shounen,7.211,920,1067
ReZERO -Starting Life in Another World- The Frozen Bond,Movie,1,Finished Airing,"Nov 8, 2019",Not Available,Unknown,White Fox,Light novel,"Drama, Fantasy, Suspense",Unknown,7.601,921,480
Unknown,OVA,1,Finished Airing,"Oct 27, 2016",Not Available,Unknown,feel.,Light novel,"Comedy, Romance",Unknown,8.041,922,411
Unknown,OVA,1,Finished Airing,"Dec 9, 2010",Not Available,Unknown,asread.,Manga,"Action, Supernatural",Shounen,7.201,923,2335
Unknown,TV,26,Finished Airing,"Jul 4, 2006","Dec 26, 2006",Summer 2006,Artland,Manga,"Drama, Romance, Slice of Life",Shoujo,7.261,924,1895
Naruto the Movie Blood Prison,Movie,1,Finished Airing,"Jul 30, 2011",Not Available,Unknown,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,7.451,925,182
Punch Line,TV,12,Finished Airing,"Apr 10, 2015","Jun 26, 2015",Spring 2015,MAPPA,Original,"Comedy, Sci-Fi, Supernatural, Ecchi",Unknown,6.931,926,616
One Outs,TV,25,Finished Airing,"Oct 8, 2008","Apr 1, 2009",Fall 2008,Madhouse,Manga,Sports,Seinen,8.341,927,3781
Is the Order a Rabbit?,TV,12,Finished Airing,"Apr 10, 2014","Jun 26, 2014",Spring 2014,White Fox,4-koma manga,Comedy,Unknown,7.501,928,2099
Good Luck Girl!,TV,13,Finished Airing,"Jul 5, 2012","Sep 27, 2012",Summer 2012,Sunrise,Manga,"Comedy, Supernatural",Shounen,7.681,929,1170
Ghost Hunt,TV,25,Finished Airing,"Oct 4, 2006","Mar 28, 2007",Fall 2006,J.C.Staff,Light novel,"Horror, Mystery, Supernatural",Shoujo,7.771,930,2919
