English,Type,Episodes,Status,Start_Aired,End_Aired,Premiered,Studios,Source,Genres,Demographics,Score,Popularity,Favorites
Attack on Titan,TV,25,Finished Airing,"Apr 7, 2013","Sep 29, 2013",Spring 2013,Wit Studio,Manga,"Action, Drama",Shounen,8.531,1,155695
Death Note,TV,37,Finished Airing,"Oct 4, 2006","Jun 27, 2007",Fall 2006,Madhouse,Manga,"Supernatural, Suspense",Shounen,8.621,2,159701
Fullmetal Alchemist Brotherhood,TV,64,Finished Airing,"Apr 5, 2009","Jul 4, 2010",Spring 2009,Bones,Manga,"Action, Adventure, Drama, Fantasy",Shounen,9.131,3,207772
One Punch Man,TV,12,Finished Airing,"Oct 5, 2015","Dec 21, 2015",Fall 2015,Madhouse,Web manga,"Action, Comedy",Seinen,8.511,4,59651
Sword Art Online,TV,25,Finished Airing,"Jul 8, 2012","Dec 23, 2012",Summer 2012,A-1 Pictures,Light novel,"Action, Adventure, Fantasy, Romance",Unknown,7.201,5,64997
My Hero Academia,TV,13,Finished Airing,"Apr 3, 2016","Jun 26, 2016",Spring 2016,Bones,Manga,Action,Shounen,7.921,6,52169
Naruto,TV,220,Finished Airing,"Oct 3, 2002","Feb 8, 2007",Fall 2002,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,7.971,7,71876
Tokyo Ghoul,TV,12,Finished Airing,"Jul 4, 2014","Sep 19, 2014",Summer 2014,Pierrot,Manga,"Action, Fantasy, Horror",Seinen,7.791,8,47433
Demon Slayer Kimetsu no Yaiba,TV,26,Finished Airing,"Apr 6, 2019","Sep 28, 2019",Spring 2019,ufotable,Manga,"Action, Fantasy",Shounen,8.531,9,83110
Hunter x Hunter,TV,148,Finished Airing,"Oct 2, 2011","Sep 24, 2014",Fall 2011,Madhouse,Manga,"Action, Adventure, Fantasy",Shounen,9.041,10,188649
Your Name.,Movie,1,Finished Airing,"Aug 26, 2016",Not Available,Unknown,CoMix Wave Films,Original,"Drama, Supernatural",Unknown,8.861,11,83505
Attack on Titan Season 2,TV,12,Finished Airing,"Apr 1, 2017","Jun 17, 2017",Spring 2017,Wit Studio,Manga,"Action, Drama",Shounen,8.501,12,20123
Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011","Sep 14, 2011",Spring 2011,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Unknown,9.081,13,175248
My Hero Academia Season 2,TV,25,Finished Airing,"Apr 1, 2017","Sep 30, 2017",Spring 2017,Bones,Manga,Action,Shounen,8.141,14,17147
"No Game, No Life",TV,12,Finished Airing,"Apr 9, 2014","Jun 25, 2014",Spring 2014,Madhouse,Light novel,"Comedy, Fantasy, Ecchi",Unknown,8.101,15,46672
Naruto Shippuden,TV,500,Finished Airing,"Feb 15, 2007","Mar 23, 2017",Winter 2007,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,8.241,16,100796
Code Geass Lelouch of the Rebellion,TV,25,Finished Airing,"Oct 6, 2006","Jul 29, 2007",Fall 2006,Sunrise,Original,"Action, Drama, Sci-Fi",Unknown,8.701,17,101425
Attack on Titan Season 3,TV,12,Finished Airing,"Jul 23, 2018","Oct 15, 2018",Summer 2018,Wit Studio,Manga,"Action, Drama",Shounen,8.621,18,18914
A Silent Voice,Movie,1,Finished Airing,"Sep 17, 2016",Not Available,Unknown,Kyoto Animation,Manga,Drama,Shounen,8.951,19,78715
Toradora!,TV,25,Finished Airing,"Oct 2, 2008","Mar 26, 2009",Fall 2008,J.C.Staff,Light novel,"Drama, Romance",Unknown,8.101,20,54069
Your Lie in April,TV,22,Finished Airing,"Oct 10, 2014","Mar 20, 2015",Fall 2014,A-1 Pictures,Manga,"Drama, Romance",Shounen,8.661,21,80730
Jujutsu Kaisen,TV,24,Finished Airing,"Oct 3, 2020","Mar 27, 2021",Fall 2020,MAPPA,Manga,"Action, Fantasy",Shounen,8.671,22,74093
Noragami,TV,12,Finished Airing,"Jan 5, 2014","Mar 23, 2014",Winter 2014,Bones,Manga,"Action, Fantasy",Shounen,7.961,23,31615
ReZERO -Starting Life in Another World-,TV,25,Finished Airing,"Apr 4, 2016","Sep 19, 2016",Spring 2016,White Fox,Light novel,"Drama, Fantasy, Suspense",Unknown,8.241,24,62373
My Hero Academia Season 3,TV,25,Finished Airing,"Apr 7, 2018","Sep 29, 2018",Spring 2018,Bones,Manga,Action,Shounen,8.071,26,12713
Angel Beats!,TV,13,Finished Airing,"Apr 3, 2010","Jun 26, 2010",Spring 2010,P.A. Works,Original,"Drama, Supernatural",Unknown,8.071,27,46669
Attack on Titan Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019","Jul 1, 2019",Spring 2019,Wit Studio,Manga,"Action, Drama",Shounen,9.071,28,52595
Akame ga Kill!,TV,24,Finished Airing,"Jul 7, 2014","Dec 15, 2014",Summer 2014,White Fox,Manga,"Action, Fantasy",Shounen,7.471,29,26892
ERASED,TV,12,Finished Airing,"Jan 8, 2016","Mar 25, 2016",Winter 2016,A-1 Pictures,Manga,Mystery,Seinen,8.311,30,44620
The Seven Deadly Sins,TV,24,Finished Airing,"Oct 5, 2014","Mar 29, 2015",Fall 2014,A-1 Pictures,Manga,"Action, Adventure, Fantasy",Shounen,7.701,31,18941
The Future Diary,TV,26,Finished Airing,"Oct 9, 2011","Apr 15, 2012",Fall 2011,asread.,Manga,"Action, Supernatural, Suspense",Shounen,7.441,32,29557
Sword Art Online II,TV,24,Finished Airing,"Jul 5, 2014","Dec 20, 2014",Summer 2014,A-1 Pictures,Light novel,"Action, Adventure, Fantasy, Romance",Unknown,6.701,33,9076
Mob Psycho 100,TV,12,Finished Airing,"Jul 11, 2016","Sep 27, 2016",Summer 2016,Bones,Web manga,"Action, Comedy, Supernatural",Unknown,8.481,34,40814
Assassination Classroom,TV,22,Finished Airing,"Jan 10, 2015","Jun 20, 2015",Winter 2015,Lerche,Manga,"Action, Comedy",Shounen,8.101,35,27493
Blue Exorcist,TV,25,Finished Airing,"Apr 17, 2011","Oct 2, 2011",Spring 2011,A-1 Pictures,Manga,"Action, Fantasy",Shounen,7.511,36,16253
Haikyu!!,TV,25,Finished Airing,"Apr 6, 2014","Sep 21, 2014",Spring 2014,Production I.G,Manga,Sports,Shounen,8.451,37,68055
KonoSuba God's Blessing on This Wonderful World!,TV,10,Finished Airing,"Jan 14, 2016","Mar 17, 2016",Winter 2016,Studio Deen,Light novel,"Adventure, Comedy, Fantasy",Unknown,8.121,38,41789
The Promised Neverland,TV,12,Finished Airing,"Jan 10, 2019","Mar 29, 2019",Winter 2019,CloverWorks,Manga,"Mystery, Sci-Fi, Suspense",Shounen,8.531,39,31501
Bleach,TV,366,Finished Airing,"Oct 5, 2004","Mar 27, 2012",Fall 2004,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,7.881,40,62532
Parasyte The Maxim,TV,24,Finished Airing,"Oct 9, 2014","Mar 26, 2015",Fall 2014,Madhouse,Manga,"Action, Horror, Sci-Fi",Seinen,8.351,41,31979
Attack on Titan The Final Season,TV,16,Finished Airing,"Dec 7, 2020","Mar 29, 2021",Winter 2021,MAPPA,Manga,"Action, Drama",Shounen,8.821,42,50285
Cowboy Bebop,TV,26,Finished Airing,"Apr 3, 1998","Apr 24, 1999",Spring 1998,Sunrise,Original,"Action, Sci-Fi",Unknown,8.751,43,73936
Spirited Away,Movie,1,Finished Airing,"Jul 20, 2001",Not Available,Unknown,Studio Ghibli,Original,"Adventure, Award Winning, Supernatural",Unknown,8.781,44,29322
Tokyo Ghoul √A,TV,12,Finished Airing,"Jan 9, 2015","Mar 27, 2015",Winter 2015,Pierrot,Manga,"Action, Fantasy, Horror",Seinen,7.031,45,10125
Fairy Tail,TV,175,Finished Airing,"Oct 12, 2009","Mar 30, 2013",Fall 2009,"Satelight, A-1 Pictures",Manga,"Action, Adventure, Fantasy",Shounen,7.581,46,44383
Code Geass Lelouch of the Rebellion R2,TV,25,Finished Airing,"Apr 6, 2008","Sep 28, 2008",Spring 2008,Sunrise,Original,"Action, Drama, Sci-Fi",Unknown,8.911,47,72087
Neon Genesis Evangelion,TV,26,Finished Airing,"Oct 4, 1995","Mar 27, 1996",Fall 1995,"Gainax, Tatsunoko Production",Original,"Action, Avant Garde, Drama, Sci-Fi",Unknown,8.341,48,94328
Death Parade,TV,12,Finished Airing,"Jan 10, 2015","Mar 28, 2015",Winter 2015,Madhouse,Original,"Drama, Supernatural, Suspense",Unknown,8.161,49,26350
Kill la Kill,TV,24,Finished Airing,"Oct 4, 2013","Mar 28, 2014",Fall 2013,Trigger,Original,"Action, Comedy, Ecchi",Unknown,8.041,50,35716
Violet Evergarden,TV,13,Finished Airing,"Jan 11, 2018","Apr 5, 2018",Winter 2018,Kyoto Animation,Light novel,"Drama, Fantasy, Slice of Life",Unknown,8.671,51,53631
Another,TV,12,Finished Airing,"Jan 10, 2012","Mar 27, 2012",Winter 2012,P.A. Works,Light novel,"Horror, Mystery, Supernatural, Suspense",Unknown,7.491,52,16379
Rascal Does Not Dream of Bunny Girl Senpai,TV,13,Finished Airing,"Oct 4, 2018","Dec 27, 2018",Fall 2018,CloverWorks,Light novel,"Comedy, Drama, Romance, Supernatural",Unknown,8.261,53,42827
Food Wars! Shokugeki no Soma,TV,24,Finished Airing,"Apr 4, 2015","Sep 26, 2015",Spring 2015,J.C.Staff,Manga,"Gourmet, Ecchi",Shounen,8.171,54,23156
My Hero Academia Season 4,TV,25,Finished Airing,"Oct 12, 2019","Apr 4, 2020",Fall 2019,Bones,Manga,Action,Shounen,7.931,55,8099
Dr. Stone,TV,24,Finished Airing,"Jul 5, 2019","Dec 13, 2019",Summer 2019,TMS Entertainment,Manga,"Adventure, Comedy, Sci-Fi",Shounen,8.291,56,24984
Psycho-Pass,TV,22,Finished Airing,"Oct 12, 2012","Mar 22, 2013",Fall 2012,Production I.G,Original,"Action, Sci-Fi, Suspense",Unknown,8.351,57,36490
Soul Eater,TV,51,Finished Airing,"Apr 7, 2008","Mar 30, 2009",Spring 2008,Bones,Manga,"Action, Comedy, Fantasy, Supernatural",Shounen,7.841,58,24750
Kaguya-sama Love is War,TV,12,Finished Airing,"Jan 12, 2019","Mar 30, 2019",Winter 2019,A-1 Pictures,Manga,Comedy,Seinen,8.411,59,35358
Anohana The Flower We Saw That Day,TV,11,Finished Airing,"Apr 15, 2011","Jun 24, 2011",Spring 2011,A-1 Pictures,Original,"Drama, Slice of Life, Supernatural",Unknown,8.321,60,31780
Gurren Lagann,TV,27,Finished Airing,"Apr 1, 2007","Sep 30, 2007",Spring 2007,Gainax,Original,"Action, Adventure, Comedy, Sci-Fi",Unknown,8.631,61,73405
One Punch Man Season 2,TV,12,Finished Airing,"Apr 10, 2019","Jul 3, 2019",Spring 2019,J.C.Staff,Web manga,"Action, Comedy",Seinen,7.481,62,5878
DARLING in the FRANXX,TV,24,Finished Airing,"Jan 13, 2018","Jul 7, 2018",Winter 2018,"A-1 Pictures, Trigger, CloverWorks",Original,"Action, Drama, Romance, Sci-Fi",Unknown,7.231,63,29672
JoJo's Bizarre Adventure,TV,26,Finished Airing,"Oct 6, 2012","Apr 6, 2013",Fall 2012,David Production,Manga,"Action, Adventure, Supernatural",Shounen,7.911,64,34121
Charlotte,TV,13,Finished Airing,"Jul 5, 2015","Sep 27, 2015",Summer 2015,P.A. Works,Original,Drama,Unknown,7.751,65,21209
The Devil is a Part-Timer!,TV,13,Finished Airing,"Apr 4, 2013","Jun 27, 2013",Spring 2013,White Fox,Light novel,"Comedy, Fantasy, Romance, Supernatural",Unknown,7.771,66,10908
Elfen Lied,TV,13,Finished Airing,"Jul 25, 2004","Oct 17, 2004",Summer 2004,Arms,Manga,"Action, Drama, Horror, Romance, Supernatural",Seinen,7.501,67,22879
Black Clover,TV,170,Finished Airing,"Oct 3, 2017","Mar 30, 2021",Fall 2017,Pierrot,Manga,"Action, Comedy, Fantasy",Shounen,8.131,68,39684
Overlord,TV,13,Finished Airing,"Jul 7, 2015","Sep 29, 2015",Summer 2015,Madhouse,Light novel,"Action, Adventure, Fantasy, Supernatural",Unknown,7.921,69,23427
The Rising of the Shield Hero,TV,25,Finished Airing,"Jan 9, 2019","Jun 26, 2019",Winter 2019,Kinema Citrus,Light novel,"Action, Adventure, Drama, Fantasy",Unknown,8.011,70,25363
Is It Wrong to Try to Pick Up Girls in a Dungeon?,TV,13,Finished Airing,"Apr 4, 2015","Jun 27, 2015",Spring 2015,J.C.Staff,Light novel,"Action, Adventure, Comedy, Fantasy, Romance",Unknown,7.561,71,11096
Fate/Zero,TV,13,Finished Airing,"Oct 2, 2011","Dec 25, 2011",Fall 2011,ufotable,Light novel,"Action, Fantasy, Supernatural",Unknown,8.291,72,32436
High School of the Dead,TV,12,Finished Airing,"Jul 5, 2010","Sep 20, 2010",Summer 2010,Madhouse,Manga,"Action, Horror, Supernatural, Ecchi",Shounen,7.081,73,9533
Fullmetal Alchemist,TV,51,Finished Airing,"Oct 4, 2003","Oct 2, 2004",Fall 2003,Bones,Manga,"Action, Adventure, Drama, Fantasy",Shounen,8.121,74,24879
KonoSuba God's Blessing on This Wonderful World! 2,TV,10,Finished Airing,"Jan 12, 2017","Mar 16, 2017",Winter 2017,Studio Deen,Light novel,"Adventure, Comedy, Fantasy",Unknown,8.271,75,11436
Noragami Aragoto,TV,13,Finished Airing,"Oct 3, 2015","Dec 26, 2015",Fall 2015,Bones,Manga,"Action, Fantasy",Shounen,8.171,76,11247
Clannad,TV,23,Finished Airing,"Oct 5, 2007","Mar 28, 2008",Fall 2007,Kyoto Animation,Visual novel,"Drama, Romance, Supernatural",Unknown,8.011,77,26675
Kakegurui,TV,12,Finished Airing,"Jul 1, 2017","Sep 23, 2017",Summer 2017,MAPPA,Manga,"Drama, Mystery",Shounen,7.261,78,10070
Durarara!!,TV,24,Finished Airing,"Jan 8, 2010","Jun 25, 2010",Winter 2010,Brain's Base,Light novel,"Action, Mystery, Supernatural",Unknown,8.121,79,29354
Bakemonogatari,TV,15,Finished Airing,"Jul 3, 2009","Jun 25, 2010",Summer 2009,Shaft,Light novel,"Mystery, Romance, Supernatural",Unknown,8.341,80,46837
High School DxD,TV,12,Finished Airing,"Jan 6, 2012","Mar 23, 2012",Winter 2012,TNK,Light novel,"Comedy, Romance, Ecchi",Unknown,7.341,81,21187
My Teen Romantic Comedy SNAFU,TV,13,Finished Airing,"Apr 5, 2013","Jun 28, 2013",Spring 2013,Brain's Base,Light novel,"Comedy, Romance",Unknown,8.021,82,26918
Mob Psycho 100 II,TV,13,Finished Airing,"Jan 7, 2019","Apr 1, 2019",Winter 2019,Bones,Web manga,"Action, Comedy, Supernatural",Unknown,8.811,83,29942
Haikyu!! 2nd Season,TV,25,Finished Airing,"Oct 4, 2015","Mar 27, 2016",Fall 2015,Production I.G,Manga,Sports,Shounen,8.641,84,15241
Assassination Classroom Second Season,TV,25,Finished Airing,"Jan 8, 2016","Jul 1, 2016",Winter 2016,Lerche,Manga,"Action, Comedy",Shounen,8.501,85,16895
Hyouka,TV,22,Finished Airing,"Apr 23, 2012","Sep 17, 2012",Spring 2012,Kyoto Animation,Novel,"Mystery, Slice of Life",Unknown,8.091,86,25351
"Love, Chunibyo & Other Delusions!",TV,12,Finished Airing,"Oct 4, 2012","Dec 20, 2012",Fall 2012,Kyoto Animation,Light novel,"Comedy, Romance",Unknown,7.721,87,16952
Demon Slayer -Kimetsu no Yaiba- The Movie Mugen Train,Movie,1,Finished Airing,"Oct 16, 2020",Not Available,Unknown,ufotable,Manga,"Action, Fantasy",Shounen,8.651,88,12067
That Time I Got Reincarnated as a Slime,TV,24,Finished Airing,"Oct 2, 2018","Mar 19, 2019",Fall 2018,8bit,Manga,"Action, Adventure, Comedy, Fantasy",Unknown,8.131,89,25031
Seraph of the End Vampire Reign,TV,12,Finished Airing,"Apr 4, 2015","Jun 20, 2015",Spring 2015,Wit Studio,Manga,"Action, Drama, Supernatural",Shounen,7.491,90,12724
Made in Abyss,TV,13,Finished Airing,"Jul 7, 2017","Sep 29, 2017",Summer 2017,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Unknown,8.671,91,39160
Bungo Stray Dogs,TV,12,Finished Airing,"Apr 7, 2016","Jun 23, 2016",Spring 2016,Bones,Manga,"Action, Comedy, Mystery, Supernatural",Seinen,7.821,92,22936
Puella Magi Madoka Magica,TV,12,Finished Airing,"Jan 7, 2011","Apr 22, 2011",Winter 2011,Shaft,Original,"Drama, Suspense",Unknown,8.361,93,50364
Unknown,TV,24,Finished Airing,"Jul 8, 2019","Dec 30, 2019",Summer 2019,Wit Studio,Manga,"Action, Adventure, Drama",Seinen,8.731,94,35509
Howl's Moving Castle,Movie,1,Finished Airing,"Nov 20, 2004",Not Available,Unknown,Studio Ghibli,Novel,"Adventure, Drama, Fantasy, Romance",Unknown,8.661,95,24541
The Pet Girl of Sakurasou,TV,24,Finished Airing,"Oct 9, 2012","Mar 26, 2013",Fall 2012,J.C.Staff,Light novel,"Drama, Romance",Unknown,8.101,96,25827
Deadman Wonderland,TV,12,Finished Airing,"Apr 17, 2011","Jul 3, 2011",Spring 2011,Manglobe,Manga,"Action, Horror, Sci-Fi, Supernatural",Shounen,7.161,97,6411
Maid Sama!,TV,26,Finished Airing,"Apr 2, 2010","Sep 24, 2010",Spring 2010,J.C.Staff,Manga,"Comedy, Romance",Shoujo,8.011,98,21475
Kaguya-sama Love is War Season 2,TV,12,Finished Airing,"Apr 11, 2020","Jun 27, 2020",Spring 2020,A-1 Pictures,Manga,Comedy,Seinen,8.651,99,18506
Fire Force,TV,24,Finished Airing,"Jul 6, 2019","Dec 28, 2019",Summer 2019,David Production,Manga,"Action, Supernatural",Shounen,7.701,100,8143
Guilty Crown,TV,22,Finished Airing,"Oct 14, 2011","Mar 23, 2012",Fall 2011,Production I.G,Original,"Action, Drama, Sci-Fi",Unknown,7.431,101,16684
Samurai Champloo,TV,26,Finished Airing,"May 20, 2004","Mar 19, 2005",Spring 2004,Manglobe,Original,"Action, Adventure, Comedy",Unknown,8.501,102,34244
Princess Mononoke,Movie,1,Finished Airing,"Jul 12, 1997",Not Available,Unknown,Studio Ghibli,Original,"Action, Adventure, Fantasy",Unknown,8.671,103,19407
Dragon Ball Z,TV,291,Finished Airing,"Apr 26, 1989","Jan 31, 1996",Spring 1989,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",Shounen,8.151,104,34035
Miss Kobayashi's Dragon Maid,TV,13,Finished Airing,"Jan 12, 2017","Apr 6, 2017",Winter 2017,Kyoto Animation,Manga,"Fantasy, Slice of Life",Unknown,7.991,105,16414
Clannad ~After Story~,TV,24,Finished Airing,"Oct 3, 2008","Mar 27, 2009",Fall 2008,Kyoto Animation,Visual novel,"Drama, Romance, Supernatural",Unknown,8.941,106,67296
Horimiya,TV,13,Finished Airing,"Jan 10, 2021","Apr 4, 2021",Winter 2021,CloverWorks,Manga,Romance,Shounen,8.211,107,28746
Kuroko's Basketball,TV,25,Finished Airing,"Apr 8, 2012","Sep 22, 2012",Spring 2012,Production I.G,Manga,Sports,Shounen,8.071,108,20047
Black Butler,TV,24,Finished Airing,"Oct 3, 2008","Mar 27, 2009",Fall 2008,A-1 Pictures,Manga,"Action, Comedy, Mystery, Supernatural",Shounen,7.681,109,21493
Nisekoi False Love,TV,20,Finished Airing,"Jan 11, 2014","May 24, 2014",Winter 2014,Shaft,Manga,"Comedy, Romance",Shounen,7.591,110,10522
Beyond the Boundary,TV,12,Finished Airing,"Oct 3, 2013","Dec 19, 2013",Fall 2013,Kyoto Animation,Light novel,"Fantasy, Slice of Life, Supernatural",Unknown,7.741,111,11460
Haikyu!! 3rd Season,TV,10,Finished Airing,"Oct 8, 2016","Dec 10, 2016",Fall 2016,Production I.G,Manga,Sports,Shounen,8.791,112,14750
JoJo's Bizarre Adventure Stardust Crusaders,TV,24,Finished Airing,"Apr 5, 2014","Sep 13, 2014",Spring 2014,David Production,Manga,"Action, Adventure, Drama, Supernatural",Shounen,8.101,113,19730
Terror in Resonance,TV,11,Finished Airing,"Jul 11, 2014","Sep 26, 2014",Summer 2014,MAPPA,Original,"Mystery, Suspense",Unknown,8.101,114,20612
Dororo,TV,24,Finished Airing,"Jan 7, 2019","Jun 24, 2019",Winter 2019,"Tezuka Productions, MAPPA",Manga,"Action, Adventure, Supernatural",Shounen,8.241,115,17791
Food Wars! The Second Plate,TV,13,Finished Airing,"Jul 2, 2016","Sep 24, 2016",Summer 2016,J.C.Staff,Manga,"Gourmet, Ecchi",Shounen,8.101,116,3028
Tokyo Ghoulre,TV,12,Finished Airing,"Apr 3, 2018","Jun 19, 2018",Spring 2018,"Pierrot, Pierrot Plus",Manga,"Action, Fantasy, Horror",Seinen,6.381,117,3594
Log Horizon,TV,25,Finished Airing,"Oct 5, 2013","Mar 22, 2014",Fall 2013,Satelight,Light novel,"Action, Adventure, Fantasy",Unknown,7.941,118,9988
Ouran High School Host Club,TV,26,Finished Airing,"Apr 5, 2006","Sep 27, 2006",Spring 2006,Bones,Manga,"Comedy, Romance",Shoujo,8.161,119,31655
Fate/Zero Season 2,TV,12,Finished Airing,"Apr 8, 2012","Jun 24, 2012",Spring 2012,ufotable,Light novel,"Action, Fantasy, Supernatural",Unknown,8.561,120,19629
The Seven Deadly Sins Revival of the Commandments,TV,24,Finished Airing,"Jan 13, 2018","Jun 30, 2018",Winter 2018,A-1 Pictures,Manga,"Action, Adventure, Fantasy, Supernatural",Shounen,7.621,121,3769
Unknown,TV,12,Finished Airing,"Apr 9, 2022","Jun 25, 2022",Spring 2022,"Wit Studio, CloverWorks",Manga,"Action, Comedy",Shounen,8.761,122,33061
Classroom of the Elite,TV,12,Finished Airing,"Jul 12, 2017","Sep 27, 2017",Summer 2017,Lerche,Light novel,Drama,Unknown,7.861,123,15488
Tokyo Revengers,TV,24,Finished Airing,"Apr 11, 2021","Sep 19, 2021",Spring 2021,LIDENFILMS,Manga,"Action, Drama, Supernatural",Shounen,8.081,124,23742
Mushoku Tensei Jobless Reincarnation,TV,11,Finished Airing,"Jan 11, 2021","Mar 22, 2021",Winter 2021,Studio Bind,Light novel,"Drama, Fantasy, Ecchi",Unknown,8.381,125,24696
Devilman Crybaby,ONA,10,Finished Airing,"Jan 5, 2018",Not Available,Unknown,Science SARU,Manga,"Action, Avant Garde, Horror, Supernatural",Unknown,7.771,126,21355
Demon Slayer Kimetsu no Yaiba Entertainment District Arc,TV,11,Finished Airing,"Dec 5, 2021","Feb 13, 2022",Winter 2022,ufotable,Manga,"Action, Fantasy",Shounen,8.851,127,21370
My Little Monster,TV,13,Finished Airing,"Oct 2, 2012","Dec 25, 2012",Fall 2012,Brain's Base,Manga,"Comedy, Romance",Shoujo,7.481,128,5792
Goblin Slayer,TV,12,Finished Airing,"Oct 7, 2018","Dec 30, 2018",Fall 2018,White Fox,Light novel,"Action, Adventure, Fantasy",Unknown,7.421,129,6446
JoJo's Bizarre Adventure Diamond is Unbreakable,TV,39,Finished Airing,"Apr 2, 2016","Dec 24, 2016",Spring 2016,David Production,Manga,"Action, Adventure, Comedy, Drama, Supernatural",Shounen,8.501,130,35885
Fate/stay night [Unlimited Blade Works],TV,12,Finished Airing,"Oct 12, 2014","Dec 28, 2014",Fall 2014,ufotable,Visual novel,"Action, Fantasy, Supernatural",Unknown,8.191,131,15459
JoJo's Bizarre Adventure Stardust Crusaders - Battle in Egypt,TV,24,Finished Airing,"Jan 10, 2015","Jun 20, 2015",Winter 2015,David Production,Manga,"Action, Adventure, Drama, Supernatural",Shounen,8.441,132,18787
K-ON!,TV,13,Finished Airing,"Apr 3, 2009","Jun 26, 2009",Spring 2009,Kyoto Animation,4-koma manga,Comedy,Unknown,7.851,133,22294
The Irregular at Magic High School,TV,26,Finished Airing,"Apr 6, 2014","Sep 28, 2014",Spring 2014,Madhouse,Light novel,"Action, Romance, Sci-Fi, Supernatural",Unknown,7.431,134,10630
Gintama,TV,201,Finished Airing,"Apr 4, 2006","Mar 25, 2010",Spring 2006,Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,8.951,135,55670
ReZERO -Starting Life in Another World- Season 2,TV,13,Finished Airing,"Jul 8, 2020","Sep 30, 2020",Summer 2020,White Fox,Light novel,"Drama, Fantasy, Suspense",Unknown,8.361,136,10962
Magi The Labyrinth of Magic,TV,25,Finished Airing,"Oct 7, 2012","Mar 31, 2013",Fall 2012,A-1 Pictures,Manga,"Action, Adventure, Fantasy",Shounen,8.021,137,8694
My Hero Academia Season 5,TV,25,Finished Airing,"Mar 27, 2021","Sep 25, 2021",Spring 2021,Bones,Manga,Action,Shounen,7.421,138,9851
My Teen Romantic Comedy SNAFU TOO!,TV,13,Finished Airing,"Apr 3, 2015","Jun 26, 2015",Spring 2015,feel.,Light novel,"Comedy, Romance",Unknown,8.221,139,15477
The Disastrous Life of Saiki K.,TV,120,Finished Airing,"Jul 4, 2016","Dec 26, 2016",Summer 2016,"J.C.Staff, Egg Firm",Manga,"Comedy, Supernatural",Shounen,8.421,140,25790
My Neighbor Totoro,Movie,1,Finished Airing,"Apr 16, 1988",Not Available,Unknown,Studio Ghibli,Original,"Adventure, Supernatural",Unknown,8.261,141,7414
Attack on Titan The Final Season Part 2,TV,12,Finished Airing,"Jan 10, 2022","Apr 4, 2022",Winter 2022,MAPPA,Manga,"Action, Drama",Shounen,8.801,142,27175
Date A Live,TV,12,Finished Airing,"Apr 6, 2013","Jun 22, 2013",Spring 2013,AIC PLUS+,Light novel,"Comedy, Romance, Sci-Fi",Unknown,7.171,143,9183
Dragon Ball,TV,153,Finished Airing,"Feb 26, 1986","Apr 12, 1989",Winter 1986,Toei Animation,Manga,"Adventure, Comedy, Fantasy",Shounen,7.961,144,13894
ReLIFE,TV,13,Finished Airing,"Jul 2, 2016","Sep 24, 2016",Summer 2016,TMS Entertainment,Web manga,"Drama, Romance, Slice of Life",Unknown,7.981,145,9299
Golden Time,TV,24,Finished Airing,"Oct 4, 2013","Mar 28, 2014",Fall 2013,J.C.Staff,Light novel,"Comedy, Drama, Romance",Unknown,7.751,146,12068
Sword Art Online Alicization,TV,24,Finished Airing,"Oct 7, 2018","Mar 31, 2019",Fall 2018,A-1 Pictures,Light novel,"Action, Adventure, Fantasy",Unknown,7.561,147,6786
Prison School,TV,12,Finished Airing,"Jul 11, 2015","Sep 26, 2015",Summer 2015,J.C.Staff,Manga,"Comedy, Romance, Ecchi",Seinen,7.621,148,6739
Fairy Tail Series 2,TV,102,Finished Airing,"Apr 5, 2014","Mar 26, 2016",Spring 2014,"A-1 Pictures, Bridge",Manga,"Action, Adventure, Fantasy",Shounen,7.661,149,11538
Black Lagoon,TV,12,Finished Airing,"Apr 9, 2006","Jun 25, 2006",Spring 2006,Madhouse,Manga,Action,Seinen,8.031,150,16444
Monster,TV,74,Finished Airing,"Apr 7, 2004","Sep 28, 2005",Spring 2004,Madhouse,Manga,"Drama, Mystery, Suspense",Seinen,8.841,151,41061
Overlord II,TV,13,Finished Airing,"Jan 9, 2018","Apr 3, 2018",Winter 2018,Madhouse,Light novel,"Action, Adventure, Fantasy, Supernatural",Unknown,7.761,152,4114
Food Wars! The Third Plate,TV,12,Finished Airing,"Oct 4, 2017","Dec 20, 2017",Fall 2017,J.C.Staff,Manga,"Gourmet, Ecchi",Shounen,8.021,153,2591
Fate/stay night,TV,24,Finished Airing,"Jan 7, 2006","Jun 17, 2006",Winter 2006,Studio Deen,Visual novel,"Action, Fantasy, Romance, Supernatural",Unknown,7.291,154,7032
Darker than Black,TV,25,Finished Airing,"Apr 6, 2007","Sep 28, 2007",Spring 2007,Bones,Original,"Action, Mystery, Sci-Fi",Unknown,8.071,155,16062
